소재지지번주소,위도,경도,cctvid
경기도 성남시 중원구 도촌동 563,37.4151988,127.1507773,10645
경기도 가평군 상면 항사리 303-2,37.79210121,127.3670343,253
경기도 여주시 하동 125-12,37.29875495,127.6302429,23512
경기도 양평군 옥천면 옥천리 951-5천,37.51879771,127.4587175,22668
경기도 안성시 금산동 22-18(몽실학교 후문),37.01041192,127.267048,17927
경기도 화성시 향남읍 동오리 521-3,37.13125495,126.9482115,38385
"경기도 용인시 기흥구 신갈동 692 신릉중 옆, 달빛어린이공원 내, 603동 앞",37.289176,127.116988,25125
경기도 수원시 권선구 세류동 97-12,37.2653537,127.0123058,11733
경기도 성남시 태평3동 6416,37.4418176,127.1311489,10902
경기도 부천시 심곡동 131-39,37.48589961,126.7880225,8323
경기도 이천시 설성면 행죽리 75-4,37.1094638,127.5373294,29122
경기도 이천시 백사면 모전리 805-3,37.305998,127.468494,28753
경기도 화성시 향남읍 상신리 1215,37.10503424,126.9057961,38471
경기도 수원시 장안구 천천동 334-3,37.29009733,126.9785713,13587
경기도 용인시 수지구 상현동 846 금호베스트빌1단지 158동 앞 삼거리,37.305929,127.079255,25508
경기도 구리시 수택동 879,37.59543519,127.152494,3567
경기도 수원시 영통구 영통동 996-2,37.25536803,127.0759821,12556
경기도 수원시 장안구 조원동 479-4,37.29992649,127.0244717,13506
경기도 안산시 단원구 와동 720-9,37.33310963,126.8264924,16080
경기도 화성시 방교동 796-1,37.17282124,127.0846781,35505
경기도 수원시 팔달구 화서동 205-15,37.2808673,126.9973718,14523
경기도 화성시 장지동 196-3,37.15933332,127.0976957,37791
경기도 수원시 영통구 이의동 1312-4,37.29403092,127.0544638,12755
경기도 안산시 단원구 원곡동 763-1번지,37.33255433,126.7961323,16229
경기도 파주시 교하동 512-4,37.75103257,126.7442048,29983
경기도 평택시 안중리 290-4,36.98826926,126.9296897,32486
경기도 구리시 인창동 583-6,37.60627197,127.1354266,3641
경기도 안양시 만안구 안양동 201-23,37.38589146,126.9362935,20481
경기도 부천시 상동 591-2,37.4923851,126.7452352,8014
경기도 안산시 단원구 고잔동 643-10,37.33024699,126.8399504,15489
경기도 화성시 향남읍 상신리 1299-7,37.10352702,126.8990147,38505
경기도 고양시 일산동구 장항동 853 라이저오프스텔 코너,37.65548726,126.7740708,1180
경기도 화성시 장안면 장안리 152,37.05657797,126.8521584,37756
경기도 화성시 석우동 118,37.20674249,127.0775795,36512
경기도 동두천시 송내동 466-1,37.87174417,127.0591178,7340
경기도 양주시 덕계동 410-31,37.823696,127.046947,20835
경기도 과천시 원문동 8 (주공2단지입구),37.42185739,126.9915849,1797
경기도 안산시 상록구 본오동 849-13,37.29141145,126.8689461,16636
경기도 수원시 권선구 금곡동 245-68,37.26925287,126.9536311,11399
경기도 부천시 고강동 309-7,37.52687415,126.8122371,7500
경기도 수원시 팔달구 지동 175-16,37.2796213,127.0258958,14387
